date, pm25, pm10, o3, no2, so2, co
01/05/2019,51,25,13,12,1, 
02/05/2019,52,28,15,9,3, 
03/05/2019,61,25,13,7,1, 
04/05/2019,56,31,6,6,1, 
05/05/2019,50,47,16,6,1, 
06/05/2019,79,60,16,11,1, 
07/05/2019,98,61,17,11,1, 
08/05/2019,107,61,16,9,1, 
09/05/2019,106,55,18,13,1, 
10/05/2019,97,54,18,9,1, 
11/05/2019,98,55,16,11,1, 
12/05/2019,104,39,13,15,1, 
13/05/2019,80,43,9,13,1, 
14/05/2019,89,55,13,9,1, 
15/05/2019,109,51,10,10,1, 
16/05/2019,98,49,11,11,1, 
17/05/2019,88,58,14,11,2, 
18/05/2019,95,53,15,6,1, 
19/05/2019,84,42,16,5,1, 
20/05/2019,85,43,12,8,1, 
21/05/2019,82,38,10,12,1, 
22/05/2019,72,34,9,12,1, 
23/05/2019,68,35,13,9,1, 
24/05/2019,71,40,11,8,1, 
25/05/2019,75,32,11,6,1, 
26/05/2019,66,38,7,10,1, 
27/05/2019,79,41,4,8,1, 
28/05/2019,76,23,8,10,1, 
29/05/2019,50,24,3,10,1, 
30/05/2019,51,30,9,9,1, 
31/05/2019,61,28,11,9,1, 
01/06/2019,55,26,8,7,1, 
02/06/2019,56,33,10,9,1, 
03/06/2019,64,30,19,10,1, 
04/06/2019,62,45,7,9,1, 
05/06/2019,59,36,9,17,1, 
06/06/2019,71,36,11,16,1, 
07/06/2019,75,37,12,10,1, 
08/06/2019,68,28,9,7,1, 
09/06/2019,57,25,8,7,1, 
10/06/2019,48,25,4,10,1,10
11/06/2019,58,23,6,5,1, 
12/06/2019,49,23,8,5,1, 
13/06/2019,51,24,10,5,1, 
14/06/2019,49,27,14,6,1, 
15/06/2019,53,30,8,8,1, 
16/06/2019,58,31,6,6,1, 
17/06/2019,48,21,6,7, , 
18/06/2019,44,20,6,7,1, 
19/06/2019,44,34,3,10,1, 
20/06/2019,63,37,3,7,1, 
21/06/2019,68,32,2,4,1, 
22/06/2019,64,29,2,4,1, 
23/06/2019,66,25,3,5,1, 
24/06/2019,60,26,3,10,1, 
25/06/2019,53,24,9,7, , 
26/06/2019,63,27,6,10,1, 
27/06/2019,62,31,7,7,1, 
28/06/2019,63,25,8,6,1, 
29/06/2019,51,21,8,6,1, 
30/06/2019,52,32,6,10,1, 
01/07/2019,66,43,6,9,1, 
02/07/2019,76,43,4,11,1, 
03/07/2019,71,63,3,9,1, 
04/07/2019,69,33,3,10,1, 
05/07/2019,66,43,2,10,1, 
06/07/2019,74,37,3,7,1, 
07/07/2019,61,35,7,8,1, 
08/07/2019,62,35,8,8,3, 
09/07/2019,67,43,9,8,1, 
10/07/2019,71,59,10,7,2, 
11/07/2019,81,39,11,5,1, 
12/07/2019,66,34,10,6,1, 
13/07/2019,61,26,4,4,1, 
14/07/2019,49,24,5,6,1, 
15/07/2019,50,22,12,6,1, 
16/07/2019,43,24,10,7,1, 
17/07/2019,51,22,13,7,1, 
18/07/2019,53,24,11,7,1, 
19/07/2019,54,27,13,9,1, 
20/07/2019,61,17,6,7,1, 
21/07/2019,54,27,5,10,1, 
22/07/2019,67,28,3,8,1, 
23/07/2019,66,39,2,8,1, 
24/07/2019,65,27,3,8,1, 
25/07/2019,87,34,15,9,1, 
26/07/2019,65,28,10,10,1, 
27/07/2019,50,33,11,7,1, 
28/07/2019,55,20,6,6,1, 
29/07/2019,39,25,7,7,1, 
30/07/2019,57,27,8,5,1, 
31/07/2019,57,25,6,6, , 
01/08/2019,49,24,7,8,1, 
02/08/2019,49,23,5,7,1, 
03/08/2019,51,18,6,7,1, 
04/08/2019,45,22,6,8,1, 
05/08/2019,47,24,7,8,1, 
06/08/2019,54,25,6,8, , 
07/08/2019,54,23,4,7,1, 
08/08/2019,60,25,6,8,1, 
09/08/2019,64,18,5,6,1, 
10/08/2019,48,18,6,4,1, 
11/08/2019,42,18,7,4,1, 
12/08/2019,46,24,5,7,1, 
13/08/2019,56,33,7,8,1, 
14/08/2019,67,32,10,6,1, 
15/08/2019,67,32,9,7,1, 
16/08/2019,70,22,5,6,1, 
17/08/2019,47,20,8,5,1, 
18/08/2019,41,27,10,8,1, 
19/08/2019,52,26,5,8,1, 
20/08/2019,55,23,8,9, , 
21/08/2019,43,25,5,7,1, 
22/08/2019,50,25,2,8, , 
23/08/2019,52,24,6,8,1, 
24/08/2019,46,20,7,5,1, 
25/08/2019,40,18,4,7,1, 
26/08/2019,34,24,5,8, , 
27/08/2019,46,22,8,8,1, 
28/08/2019,41,21,6,9,1, 
29/08/2019,46,25,3,9,1, 
30/08/2019,46,21,6,7,1, 
31/08/2019,47,18,4,6,1, 
01/09/2019,37,25,4,8,1, 
02/09/2019,51,23,2,9, , 
03/09/2019,53,26,3,9,1, 
04/09/2019,52,27,3,9,1, 
05/09/2019,58,28,7,9,1, 
06/09/2019,66,31,3,8,3, 
07/09/2019,60,26,6,7,4, 
08/09/2019,57,29,5,8,2, 
09/09/2019,57,26,3,8,1, 
10/09/2019,55,30,9,12,2, 
11/09/2019,59,29,4,10,3, 
12/09/2019,56,20,5,7,3, 
13/09/2019,42,24,5,10,1, 
14/09/2019,55,31,9,11,4, 
15/09/2019,63,28,7,14,2, 
16/09/2019,65,35,12,13,3, 
17/09/2019,76,31,13,17,2, 
18/09/2019,66,33,11,19,3, 
19/09/2019,74,33,15,14,3, 
20/09/2019,77,26,4,8,5, 
21/09/2019,58,33,10,6,3, 
22/09/2019,78,25,7,4,2, 
23/09/2019,62,41,16,7,1, 
24/09/2019,89,59,18,13,1, 
25/09/2019,116,59,20,22,1, 
26/09/2019,110,49,16,19,1, 
27/09/2019,102,62,24,20,2, 
28/09/2019,131,66,32,20,1, 
29/09/2019,141,77,30,18,2, 
30/09/2019,171,48,14,11,1, 
01/10/2019,106,37,17,13,1, 
02/10/2019,85,36,12,12,2, 
03/10/2019,78,45,6,17,1, 
04/10/2019,93,45,8,10,1, 
05/10/2019,90,33,10,15,2, 
06/10/2019,82,29,10,13,1, 
07/10/2019,72,34,11,17, , 
08/10/2019,72,26,9,18,1, 
09/10/2019,83,34,15,20,1, 
10/10/2019,101,41,14,20,2, 
11/10/2019,96,37,14,19,2, 
12/10/2019,88,23,5,11,2, 
13/10/2019,79,19,9,11,4, 
14/10/2019,65,31,9,12,2, 
15/10/2019,73,42,6,17,3, 
16/10/2019,73,46,10,19,1, 
17/10/2019,75,44,17,22,2, 
18/10/2019,75,46,18,17,2, 
19/10/2019,83,46,15,15,1, 
20/10/2019,82,50,23,15,1, 
21/10/2019,92,69,27,22,1, 
22/10/2019,148,46,19,8,1, 
23/10/2019,94,36,12,8,1, 
24/10/2019,80,42,18,12,1, 
25/10/2019,84,44,16,13,2, 
26/10/2019,90,32,15,10,3, 
27/10/2019,68,34,18,12,1, 
28/10/2019,73,37,13,15,1, 
29/10/2019,79,40,19,13,1, 
30/10/2019,78,48,21,15,1, 
31/10/2019,86,30,12,11,1, 
01/11/2019,62,36,8,14,1, 
02/11/2019,75,39,14,11,1, 
03/11/2019,85,41,22,14,2, 
04/11/2019,81,58,24,18, , 
05/11/2019,110,59,19,19,1, 
06/11/2019,122,61,15,18,1, 
07/11/2019,127,61,22,14,2, 
08/11/2019,120,60,22,12,1, 
09/11/2019,132,61,21,17, , 
10/11/2019,128,69,25,27,1, 
11/11/2019,131,62,13,24,1, 
12/11/2019,137,54,13,16,1, 
13/11/2019,113,41,6,15,1, 
14/11/2019,81,46,16,15,1, 
15/11/2019,88,54,20,18,1, 
16/11/2019,109,56,27,16,1, 
17/11/2019,113,55,15,20,3, 
18/11/2019,99,51,16,16, , 
19/11/2019,88,40,13,12, , 
20/11/2019,78,41,18,13,1, 
21/11/2019,85,44,16,17,1, 
22/11/2019,87,51,18,23,2, 
23/11/2019,107,49,20,20,2, 
24/11/2019,99,55,15,21,1, 
25/11/2019,111,46,15,19,2, 
26/11/2019,90,47,10,18,1, 
27/11/2019,87,38,10,10,3, 
28/11/2019,72,35,17,12,1, 
29/11/2019,74,36,8,16,1, 
30/11/2019,73,39,14,15,2, 
01/12/2019,79,36,11,12,1, 
02/12/2019,66,44,15,12,2, 
03/12/2019,84,51,20,9,1, 
04/12/2019,104,51,24,7,2, 
05/12/2019,107,60,23,15,2, 
06/12/2019,119,58,21,14,4, 
07/12/2019,103,68,23,21,4, 
08/12/2019,134,64,17,16,3, 
09/12/2019,129,68,22,23,1, 
10/12/2019,137,74,18,32,1, 
11/12/2019,149,67,16,27,1, 
12/12/2019,138,68,16,20,1, 
13/12/2019,142,63,13,17,1, 
14/12/2019,128,67,3,20,1, 
15/12/2019,123,61,14,21,1, 
16/12/2019,113,59,12,24,1, 
17/12/2019,115,60,14,21,1, 
18/12/2019,116,59,16,20,1, 
19/12/2019,117,57,13,18,1, 
20/12/2019,114,57,15,18,1, 
21/12/2019,113,50,13,16,2, 
22/12/2019,99,50,14,16,1, 
23/12/2019,97,52,15,13,1, 
24/12/2019,103,54,15,16,1, 
25/12/2019,108,51,14,15,1, 
26/12/2019,102,57,14,15,1, 
27/12/2019,119,57,15,14,1, 
28/12/2019,115,59,17,15,1, 
29/12/2019,127, , , , , 
31/12/2019, ,36,12,11,1, 
01/01/2020,74,46,12,15,1, 
02/01/2020,93,52,12,19,1, 
03/01/2020,102,56,16,19,1, 
04/01/2020,121,61,15,17,1, 
05/01/2020,130,66,14,28,1, 
06/01/2020,135,69,17,23,1, 
07/01/2020,139,71,16,22,1, 
08/01/2020,149,70,18,21,1, 
09/01/2020,140,93,14,31,2, 
10/01/2020,180,64,16,15,1, 
11/01/2020,138,56,16,10,2, 
12/01/2020,120,56,13,12,1, 
13/01/2020,116,56,13,13,1, 
14/01/2020,112,61,14,15,1, 
15/01/2020,122,67,16,13,1, 
16/01/2020,127,70,19,16,1, 
17/01/2020,143,74,15,12,1, 
18/01/2020,162,72,19,11,1, 
19/01/2020,159,76,17,17,1, 
20/01/2020,163,67,18,14,1, 
21/01/2020,147,63,4,16,1, 
22/01/2020,124,58,13,10, , 
23/01/2020,115,48,9,8,1, 
24/01/2020,84,39,10,5, , 
25/01/2020,69,33,10,7,1, 
26/01/2020,62,40,10,10,1, 
27/01/2020,81,47,14,12,1, 
28/01/2020,101,49,21,16,1, 
29/01/2020,104,56,21,16,1, 
30/01/2020,110,68,20,13,1, 
31/01/2020,138,88,27,17,1, 
01/02/2020,161,85,27,15,1, 
02/02/2020,162,80,23,13,1, 
03/02/2020,159,71,18,10,1, 
04/02/2020,145,58,18,10,1, 
05/02/2020,109,48,15,9,1, 
06/02/2020,91,59,19,13,1, 
07/02/2020,108,59,22,11,1, 
08/02/2020,118,72,17,15,1, 
09/02/2020,138,75,20,13,1, 
10/02/2020,138,71,22,15,1, 
11/02/2020,154,58,14,9,1, 
12/02/2020,126,32,8,6, , 
13/02/2020,58,29,6,5,1, 
14/02/2020,55,37,11,8,1, 
15/02/2020,75,26,9,7,1, 
16/02/2020,58,38,14,11, , 
17/02/2020,73,62,15,12,1, 
18/02/2020,118,81,21,17,1, 
19/02/2020,149,86,19,19,1, 
20/02/2020,167,79,19,15,1, 
21/02/2020,154,82,17,14,1, 
22/02/2020,150,80,22,14,1, 
23/02/2020,151,87,22,19,1, 
24/02/2020,166,89,25,14,1, 
25/02/2020,164,73,20,11,1, 
26/02/2020,145,75,12,17,1, 
27/02/2020,140,50,13,10,1, 
28/02/2020,104,49,13,9,1, 
29/02/2020,96,51,14,7, , 
01/03/2020,91,47,12,6, , 
02/03/2020,91,33,6,4,1, 
03/03/2020,66,29,6,6,1, 
04/03/2020,56,31,6,6, , 
05/03/2020,63,30,8,6, , 
06/03/2020,63,32,6,6, , 
07/03/2020,66,40,12,6, , 
08/03/2020,83,56,24,10, , 
09/03/2020,119,49,14,9, , 
10/03/2020,107,54,14,10,1, 
11/03/2020,111,44,8,6, , 
12/03/2020,94,37,6,5, , 
13/03/2020,80,35,7,5, , 
14/03/2020,72,37,5,9, , 
15/03/2020,81,57,12,15, , 
16/03/2020,109,46,13,4, , 
17/03/2020,79,44,9,5, , 
18/03/2020,84,40,11,5, , 
19/03/2020,75,36,11,5, , 
20/03/2020,75,35,13,5, , 
21/03/2020,79,29,13,5, , 
22/03/2020,69,30,14,7,1, 
23/03/2020,65,29,9,6, , 
24/03/2020,63,30,10,4, , 
25/03/2020,68,25,6,4, , 
26/03/2020,59,27,7,4, , 
27/03/2020,58,43,17,7, , 
28/03/2020,85,32,10,3, , 
29/03/2020,75,34,9,4, , 
30/03/2020,75,42,6,3, , 
31/03/2020,96,32,9,3, , 
01/04/2020,73,29,8,3, , 
02/04/2020,64,26,7,3, , 
03/04/2020,55,28,11,3, , 
04/04/2020,62,28,11,3, , 
05/04/2020,63,28,6,2, , 
06/04/2020,61,39,9,4,10, 
07/04/2020,74,37,6,6, , 
08/04/2020,70,30,9,4, , 
09/04/2020,61,29,13,4, , 
10/04/2020,69,30,9,5, , 
11/04/2020,73,19,9,2, , 
12/04/2020,68,40,12,12, , 
13/04/2020,89,50,23,7, , 
14/04/2020,110,44,21,7, , 
15/04/2020,90,27,12,4, , 
16/04/2020,69,23,11,3,8, 
17/04/2020,56,23,14,4, , 
18/04/2020,53,26,11,6, , 
19/04/2020,57,23,11,4, , 
20/04/2020,60,22,10,3,6, 
21/04/2020,53,31,14,5, , 
22/04/2020,68,34,18,4, , 
23/04/2020,70,31,18,8, , 
24/04/2020,72,34,10,8, , 
25/04/2020,75,47,29,13, , 
26/04/2020,90,52,20,13, , 
27/04/2020,114,46,33,7, , 
28/04/2020,97,51,23,9, , 
29/04/2020,108,40,18,7, , 
30/04/2020,87,31,16,3, , 
01/05/2020,70,27,12,3, , 
02/05/2020,61,27,11,2, , 
03/05/2020,58,30,15,3, , 
04/05/2020,68,32,16,5, , 
05/05/2020,70,28,11,3, , 
06/05/2020,65,24,10,2, , 
07/05/2020,56,25,5,3, , 
08/05/2020,52,17,7,3, , 
09/05/2020,37,16,8,4, , 
10/05/2020,34,25,5,4, , 
11/05/2020,49,37,22,7, , 
12/05/2020,76,23,11,3, , 
13/05/2020,57,25,12,3, , 
14/05/2020,54,22,9,3, , 
15/05/2020,53,24,9,2, , 
16/05/2020,58,23,9,3, , 
17/05/2020,57,25,10,4, , 
18/05/2020,55,20,9,4, , 
19/05/2020,49,24,9,3, , 
20/05/2020,56,28,10,3, , 
21/05/2020,61,40,17,5, , 
22/05/2020,85,47,11,5, , 
23/05/2020,85,46,9,5, , 
24/05/2020,87,39,6,7, , 
25/05/2020,91,39,10,8, , 
26/05/2020,92,24,10,7, , 
27/05/2020,53,23,12,6, , 
28/05/2020,50,26,15,7, , 
29/05/2020,54,18,10,6, , 
30/05/2020,42,18,8,4, , 
31/05/2020,47,23,11,4, , 
01/06/2020,48,18,9,3, , 
02/06/2020,43,20,8,5, , 
03/06/2020,48,24,9,7, , 
04/06/2020,53,22,4,7, , 
05/06/2020,48,20,8,5, , 
06/06/2020,39,17,7,4, , 
07/06/2020,32,16,6,4, , 
08/06/2020,34,21,4,5, , 
09/06/2020,45,18,5,5, , 
10/06/2020,40,23,12,6, , 
11/06/2020,54,22,13,7, , 
12/06/2020,46,21,16,5, , 
13/06/2020,47,21,13,4, , 
14/06/2020,52,18,5,5, , 
15/06/2020,42,17,6,5, , 
16/06/2020,42,21,4,7, , 
17/06/2020,49,25,8,9, , 
18/06/2020,61,23,6,7, , 
19/06/2020,59,23,13,6, , 
20/06/2020,52,22,15,5, , 
21/06/2020,52,26,8,8, , 
22/06/2020,60,25,16,9, , 
23/06/2020,60,26,15,7, , 
24/06/2020,61,25,12,7, , 
25/06/2020,54,20,7,6, , 
26/06/2020,48,22,12,8, , 
27/06/2020,54,19,11,6, , 
28/06/2020,50,21,11,5, , 
29/06/2020,48,20,9,7, , 
30/06/2020,48,21,8,7, , 
01/07/2020,46,21,4,7, , 
02/07/2020,45,22,4,7, , 
03/07/2020,54,29,9,8, , 
04/07/2020,60,23,7,5, , 
05/07/2020,54,23,10,3, , 
06/07/2020,50,23,14,3, , 
07/07/2020,53,19,6,5,1, 
08/07/2020,47,23,12,5,2, 
09/07/2020,50,22,5,6,2, 
10/07/2020,53,26,7,7,1, 
11/07/2020,50,24,13,7,2, 
12/07/2020,50,27,9,9,1, 
13/07/2020,42,24,6,8,1, 
14/07/2020,53,26,7,8,2, 
15/07/2020,57,25,11,7,2, 
16/07/2020,52,26,13,7,2, 
17/07/2020,52,27,13,8,1, 
18/07/2020,66,17,6,4,2, 
19/07/2020,41,29,4,10,2, 
20/07/2020,63,37, ,12,2, 
21/07/2020,69, , , , , 
